Station_A,Station_B,Capacity,Service
Mexilhoeira Grande,Meia Praia,2,STANDARD
Meia Praia,Lagos,4,STANDARD
Desvio de Picotas,Minas de Neves Corvo,4,STANDARD
Mira Sintra - Melecas,Sabugo,4,STANDARD
Sabugo,Pedra Furada,2,STANDARD
Pedra Furada,Mafra,4,STANDARD
Mafra,Alcainca-Moinhos,2,STANDARD
Alcainca-Moinhos,Malveira,4,STANDARD
Malveira,Jerumelo,2,STANDARD
Jerumelo,Sapataria,2,STANDARD
Sapataria,Pero Negro,6,STANDARD
Pero Negro,Zibreira,2,STANDARD
Zibreira,Feliteira,2,STANDARD
Feliteira,Dois Portos,4,STANDARD
Dois Portos,Runa,2,STANDARD
Runa,Torres Vedras,4,STANDARD
Torres Vedras,Ramalhal,6,STANDARD
Ramalhal,Outeiro,4,STANDARD
Outeiro,Camarao,2,STANDARD
Camarao,Bombarral,4,STANDARD
Bombarral,Paul,2,STANDARD
Paul,Sao Mamede,2,STANDARD
Sao Mamede,Dagorda - Peniche,2,STANDARD
Dagorda - Peniche,Obidos,2,STANDARD
Obidos,Caldas da Rainha,4,STANDARD
Caldas da Rainha,Campo-Serra,2,STANDARD
Campo-Serra,Bouro,2,STANDARD
Bouro,Salir do Porto,2,STANDARD
Salir do Porto,Sao Martinho do Porto,4,STANDARD
Sao Martinho do Porto,Famalicao da Nazare,2,STANDARD
Famalicao da Nazare,Cela,2,STANDARD
Cela,Valado,4,STANDARD
Valado,Fanhais,2,STANDARD
Fanhais,Pataias,4,STANDARD
Pataias,Martinganca,4,STANDARD
Martinganca,Marinha Grande,4,STANDARD
Marinha Grande,Leiria,8,STANDARD
Leiria,Regueira de Pontes,2,STANDARD
Regueira de Pontes,Monte Real,8,STANDARD
Monte Real,Monte Redondo,2,STANDARD
Monte Redondo,Guia,2,STANDARD
Guia,Carrico,2,STANDARD
Carrico,Lourical,6,STANDARD
Lourical,Ribeira de Seica,2,STANDARD
Ribeira de Seica,Telhada,2,STANDARD
Telhada,Bicanho,2,STANDARD
Bicanho,Amieira,6,STANDARD
Amieira,Bifurcacao de Lares,4,STANDARD
Bifurcacao de Lares,Lares,2,STANDARD
Lares,Fontela,4,STANDARD
Fontela,Fontela-A,2,STANDARD
Fontela-A,Figueira da Foz,4,STANDARD
Alvito-A,Pragal,4,STANDARD
Pragal,Corroios,6,STANDARD
Corroios,Foros de Amora,2,STANDARD
Foros de Amora,Fogueteiro,4,STANDARD
Fogueteiro,Coina,4,STANDARD
Coina,Penalva,4,STANDARD
Sete Rios,Benfica,10,STANDARD
Ermesinde - B,Sao Gemil,4,STANDARD
Sao Bartolomeu da Serra,Raquete,6,STANDARD
Raquete,Porto de Sines,6,STANDARD
Cais do Sodre,Alcantara-Mar,10,STANDARD
Alcantara-Mar,Belem,2,STANDARD
Belem,Alges,4,STANDARD
Alges,Cruz Quebrada,2,STANDARD
Cruz Quebrada,Caxias,4,STANDARD
Caxias,Paco de Arcos,2,STANDARD
Paco de Arcos,Santo Amaro,2,STANDARD
Santo Amaro,Oeiras,4,STANDARD
Oeiras,Carcavelos,4,STANDARD
Carcavelos,Parede,2,STANDARD
Parede,Sao Pedro do Estoril,4,STANDARD
Sao Pedro do Estoril,Sao Joao do Estoril,2,STANDARD
Sao Joao do Estoril,Estoril,4,STANDARD
Estoril,Monte Estoril,2,STANDARD
Monte Estoril,Cascais,4,STANDARD
Viana do Castelo,Nine,4,STANDARD
Nine,Trofa,4,STANDARD
Porto Campanha,Espinho,6,STANDARD
Coimbra B,Figueira da Foz,4,STANDARD
Figueira da Foz,Leiria,4,STANDARD
Leiria,Obidos,4,STANDARD
Obidos,Entrecampos,4,STANDARD
Pombal,Chao de Macas-Fatima,4,STANDARD
Chao de Macas-Fatima,Entroncamento,2,STANDARD
Entroncamento,Lisboa Oriente,8,STANDARD
Albufeira - Ferreiras,Faro,8,STANDARD
Braga,Famalicao,4,ALFA PENDULAR
Famalicao,Trofa,4,ALFA PENDULAR
Trofa,Porto Campanha,10,ALFA PENDULAR
Porto Campanha,Vila Nova de Gaia-Devesas,8,ALFA PENDULAR
Vila Nova de Gaia-Devesas,Espinho,6,ALFA PENDULAR
Espinho,Aveiro - Vouga,10,ALFA PENDULAR
Aveiro - Vouga,Coimbra B,8,ALFA PENDULAR
Coimbra B,Pombal,6,ALFA PENDULAR
Pombal,Entroncamento,4,ALFA PENDULAR
Entroncamento,Santarem,8,ALFA PENDULAR
Santarem,Lisboa Oriente,10,ALFA PENDULAR
Lisboa Oriente,Lisboa Santa Apolonia,8,ALFA PENDULAR
Entrecampos,Pinhal Novo,10,ALFA PENDULAR
Pinhal Novo,Grandola,4,ALFA PENDULAR
Grandola,Ermidas-Sado,4,ALFA PENDULAR
Ermidas-Sado,Funcheira,4,ALFA PENDULAR
Funcheira,Santa Clara-Saboia,4,ALFA PENDULAR
Santa Clara-Saboia,Tunes,4,ALFA PENDULAR
Tunes,Albufeira - Ferreiras,6,ALFA PENDULAR
Albufeira - Ferreiras,Loule,4,ALFA PENDULAR
Loule,Faro,10,ALFA PENDULAR
